INVERSIONES 2019 AYUNTAMIENTO DE MADRID Y ORGANISMOS AUTÓNOMOS. (VERSIÓN 40);;;;;;;;;;;
;;;;;;;;;;;
Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2017/000227; SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;001016;92000;63301;1.653,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;001027;23100;62500;10.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;001027;23100;62599;10.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;001027;23100;63500;30.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2017/000255;EQUIPAMIENTO CENTROS DE DÍA DE MAYORES Y CENTROS DE MAYORES;001027;23103;63599;15.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;998;VARIOS DISTRITOS
2018/000495;OTRO EQUIPAMIENTO PARA LAS ESCUELAS INFANTILES MUNICIPALES;001027;32301;63599;93.060,00;05;EDUCACIÓN;01;ESCUELAS INFANTILES;998;VARIOS DISTRITOS
2019/000310;ESCUELA DE CERÁMICA. INSTALACIÓN DE TOLDOS;001027;32601;62200;25.000,00;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;209;MONCLOA-ARAVACA
2018/000509;AULA DE NATURALEZA DE CERCEDILLA. ÚTILES Y HERRAMIENTAS;001027;32601;62302;500;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;999;NO DISTRITALIZABLE
2018/000512;EQUIPAMIENTO ESCUELAS MUNICIPALES DE MUSICA;001027;32601;62599;260.000,00;05;EDUCACIÓN;03;ESCUELAS DE MÚSICA;998;VARIOS DISTRITOS
2018/000517;EQUIPAMIENTO RESIDENCIA NUESTRA SEÑORA DE LA PALOMA, CERCEDILLA;001027;32601;62599;6.200,00;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;999;NO DISTRITALIZABLE
2018/000508;EQUIPAMIENTO ESCUELA DE CERÁMICA;001027;32601;63300;150.000,00;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;209;MONCLOA-ARAVACA
2018/000515;RESIDENCIA NUESTRA SEÑORA DE LA PALOMA, CERCEDILLA. BICICLETA;001027;32601;63400;3.000,00;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;999;NO DISTRITALIZABLE
2018/000508;EQUIPAMIENTO ESCUELA DE CERÁMICA;001027;32601;63599;50.000,00;05;EDUCACIÓN;05;OTROS CENTROS DE ENSEÑANZA;209;MONCLOA-ARAVACA
2018/000512;EQUIPAMIENTO ESCUELAS MUNICIPALES DE MUSICA;001027;32601;63599;120.000,00;05;EDUCACIÓN;03;ESCUELAS DE MÚSICA;998;VARIOS DISTRITOS
2019/000306;SEÑALIZACIÓN CENTROS JUVENILES;001027;33701;62901;3.500,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;03;CENTROS JUVENILES;998;VARIOS DISTRITOS
2018/000613;EQUIPAMIENTO PARA EL ÁREA DE POLITICAS DE GENERO Y DIVERSIDAD;001028;23100;62500;25.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000242;NUEVOS ESPACIOS DE IGUALDAD. OTRO MOBILIARIO Y ENSERES;001028;23101;62599;182.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;04;ATENCIÓN SOCIAL A LA MUJER;998;VARIOS DISTRITOS
2019/000243;NUEVOS RECURSOS RED ATENCIÓN Y PREVENCION VIOLENCIA DE GENERO. OTRO MOBILIARIO Y ENSERES;001028;23108;62599;200.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;04;ATENCIÓN SOCIAL A LA MUJER;998;VARIOS DISTRITOS
2019/000295;EQUIPAMIENTO PABELLONES DE CASA DE CAMPO.;001037;92011;62500;22.900,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;209;MONCLOA-ARAVACA
2019/000295;EQUIPAMIENTO PABELLONES DE CASA DE CAMPO.;001037;92011;62600;40.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;209;MONCLOA-ARAVACA
2019/000300;EQUIPAMIENTO CENTRO DE RECURSOS PARA ASOCIACIONES;001037;92208;62599;40.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;203;RETIRO
2019/000300;EQUIPAMIENTO CENTRO DE RECURSOS PARA ASOCIACIONES;001037;92208;62600;40.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;203;RETIRO
2019/000069;EQUIPAMIENTO SERVICIOS PORTAVOZ, COORDINACIÓN JUNTA GOBIERNO Y RELACIONES PLENO;001047;92011;62500;27.740,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000069;EQUIPAMIENTO SERVICIOS PORTAVOZ, COORDINACIÓN JUNTA GOBIERNO Y RELACIONES PLENO;001047;92011;62599;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000246;EQUIPAMIENTO SERVICIOS MEDIOS DE COMUNICACIÓN;001047;92202;62600;15.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000020;FACTORÍAS INDUSTRIALES. INSTALACIONES;001057;43301;62301;26.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000021;EQUIPAMIENTO FACTORÍAS INDUSTRIALES;001057;43301;62500;82.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000021;EQUIPAMIENTO FACTORÍAS INDUSTRIALES;001057;43301;62599;5.500,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000020;FACTORÍAS INDUSTRIALES. INSTALACIONES;001057;43301;63301;3.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000003;ALMANCEN DE VILLA C/ AHUMAOS. MAQUINARIA;001057;92003;62300;14.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000009;VEHÍCULOS ELÉCTRICOS PARA DEPENDENCIAS MUNICIPALES;001057;92003;62400;75.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000001;ALMACÉN DE VILLA C/AHUMAOS. INSTALACIONES DE SEGURIDAD;001057;93100;62301;88.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000002;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA ECONOMÍA Y HACIENDA;001057;93100;62500;12.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2016/000339;INSTALACIÓN DEPORTIVA  CUATRO CAMINOS. CONSTRUCCIÓN;001057;93301;62200;1.500.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;206;TETUAN
2016/000341;INSTALACIÓN DEPORTIVA ENSANCHE DE VALLECAS (PAU VALLECAS). CONSTRUCCIÓN;001057;93301;62200;4.363.938,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;218;VILLA DE VALLECAS
2016/000342;INSTALACIÓN DEPORTIVA LAS ROSAS, C/ CALABRIA. CONSTRUCCIÓN;001057;93301;62200;800.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;220;SAN BLAS - CANILLEJAS
2016/000470;CENTRO DEPORTIVO C/COSTANILLA DESAMPARADOS, 15 C/V A C/FÚCAR, 6. CONSTRUCCIÓN;001057;93301;62200;100.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;201;CENTRO
2016/000475;CENTRO DE MAYORES Y SERVICIOS SOCIALES TRAVESÍA CAÑO, 5. CONSTRUCCIÓN;001057;93301;62200;2.231.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;209;MONCLOA-ARAVACA
2016/000505;FACTORÍA INDUSTRIAL EN VILLAVERDE (LA RESINA). CONSTRUCCIÓN;001057;93301;62200;1.235.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;217;VILLAVERDE
2016/000529;CENTRO DE MAYORES C/ BLAS CABRERA. CONSTRUCCIÓN (ID 17: 2389);001057;93301;62200;1.052.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;210;LATINA
2016/000533;CENTRO DEPORTIVO LA CEBADA. CONSTRUCCIÓN;001057;93301;62200;2.494.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;201;CENTRO
2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;001057;93301;62200;2.287.942,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;03;CENTROS JUVENILES;212;USERA
2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;001057;93301;62200;700.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;218;VILLA DE VALLECAS
2016/000539;POLIDEPORTIVO C/MISTRAL, ENSANCHE DE BARAJAS. CONSTRUCCIÓN;001057;93301;62200;700.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;221;BARAJAS
2017/000187;CENTRO JUVENIL C/BRONCE. CONSTRUCCIÓN;001057;93301;62200;500.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;03;CENTROS JUVENILES;202;ARGANZUELA
2017/000189;UNIDAD INTEGRAL POLICÍA DISTRITO RETIRO Y CENTRO DE SALUD COMUNITARIO. CONSTRUCCIÓN;001057;93301;62200;1.400.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;203;RETIRO
2017/000191;PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN;001057;93301;62200;2.429.752,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;207;CHAMBERI
2017/000456;ESCUELA INFANTIL PARQUE INGENIEROS. CONSTRUCCIÓN;001057;93301;62200;1.600.000,00;05;EDUCACIÓN;01;ESCUELAS INFANTILES;217;VILLAVERDE
2017/000597;CENTRO DE SERVICIOS SOCIALES EN SAN BLAS, C/POBLADURA DEL VALLE, 13. CONSTRUCCIÓN;001057;93301;62200;1.259.235,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;220;SAN BLAS - CANILLEJAS
2017/001498;UNIDAD INTEGRAL POLICÍA MUNICIPAL HORTALEZA. C/ AREQUIPA, 2. CONSTRUCCIÓN;001057;93301;62200;1.000.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;216;HORTALEZA
2017/007366;CENTRO DE ACOGIDA A PERSONAS SIN HOGAR MONTECARMELO. CONSTRUCCIÓN (ID: 796);001057;93301;62200;300.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;06;PERSONAS SIN HOGAR;208;FUENCARRAL-EL PARDO
2018/001090;PARQUE DE BOMBEROS Y EDIFICIO SAMUR C/ SANTERAS, 39. CONSTRUCCIÓN;001057;93301;62200;2.277.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;219;VICALVARO
2018/001118;CENTRO MAYORES Y SERVICIOS SOCIALES C/CANAL DE PANAMÁ C/V.CANAL MOZAMBIQUE . CONSTRUCCIÓN;001057;93301;62200;274.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;215;CIUDAD LINEAL
2018/008040;CAMPO DE RUGBY EN CERRO DEL ÁGUILA. CONSTRUCCIÓN (ID: 233);001057;93301;62200;300.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;209;MONCLOA-ARAVACA
2018/008043;ROCÓDROMOS EN EL DEPORTIVO BÁSICO VALDEBEBAS. CONSTRUCCIÓN (ID: 2769);001057;93301;62200;1.200.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;216;HORTALEZA
2018/008044;CAMPO DE RUGBY EN HORTALEZA. CONSTRUCCIÓN (ID: 444);001057;93301;62200;300.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;216;HORTALEZA
2018/008294;ESCUELA INFANTIL EN CANILLEJAS. CONSTRUCCIÓN;001057;93301;62200;300.000,00;05;EDUCACIÓN;01;ESCUELAS INFANTILES;220;SAN BLAS - CANILLEJAS
2019/000080;ESTUDIOS Y TRABAJOS TECNICOS. EDIFICIOS DE NUEVA PLANTA;001057;93301;62200;80.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2019/000302;CENTRO DE SERVICIOS SOCIALES SAN DIEGO. AMPLIACIÓN;001057;93301;62200;1.576.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;213;PUENTE DE VALLECAS
2019/000358;CENTRO DE DÍA DE MAYORES Y CENTRO DE REHABILITACIÓN C/ TELLEZ, 2. CONSTRUCCIÓN;001057;93301;62200;100.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;203;RETIRO
2019/000360;PISCINA EN EL CENTRO DEPORTIVO CERRO CABEZUELO. CONSTRUCCIÓN;001057;93301;62200;125.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;213;PUENTE DE VALLECAS
2019/009004;CAMPO RUGBY EN CALLE FUENTE CARRANTONA C/V JOSE BERGAMÍN (CUÑA VERDE). CONSTRUCCIÓN  (ID: 11015);001057;93301;62200;565.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;214;MORATALAZ
2019/009006;PISTAS DE FÚTBOL Y BALONCESTO EN VALDEBEBAS. CONSTRUCCIÓN (ID: 11485);001057;93301;62200;200.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;216;HORTALEZA
2015/000189;OBRAS DERIVADAS DE LA INSPECCIÓN TÉCNICA DE EDIFICIOS Y REGLAMENTO BAJA TENSIÓN;001057;93301;63200;191.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2016/000285;OBRAS DE CONSERVACION Y MANTENIMIENTO EN EDIFICIOS MUNICIPALES;001057;93301;63200;1.588.716,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2016/000291;EDIFICIO PLAZA DE LEGAZPI, 7. REHABILITACION EDIFICIO PARA SERVICIOS ADMINISTRATIVOS;001057;93301;63200;9.571.008,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;202;ARGANZUELA
2016/000292;CENTRO DE ALZHEIMER DE LA C/ALHAMBRA. OBRAS DE SUBSANACIÓN DE DAÑOS;001057;93301;63200;152.458,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;210;LATINA
2016/000503;OBRAS SUBSANACIÓN DE PATOLOGÍAS EN EDIFICIOS MUNICIPALES;001057;93301;63200;2.530.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2017/000208;ESCUELA INFANTIL EN LOCAL SITO PLAZA DOCTOR LAGUNA, 11. OBRAS DE ADAPTACIÓN;001057;93301;63200;112.891,00;05;EDUCACIÓN;01;ESCUELAS INFANTILES;203;RETIRO
2017/001026;CENTRO DEPORTIVO ALUCHE. SUBSANACIÓN PATOLOGÍA CUBIERTA VESTUARIOS PISCINA VERANO;001057;93301;63200;94.900,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;210;LATINA
2017/001141;EDIFICIO PALACIO DE CIBELES. OBRAS DE CONSERVACIÓN Y REPARACIÓN DE FACHADAS;001057;93301;63200;279.182,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;203;RETIRO
2017/001304;CENTRO DEPORTIVO MOSCARDÓ. REFORMA INSTALACIONES Y CLIMATIZACION;001057;93301;63200;99.973,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;212;USERA
2019/000361;CENTRO DE MAYORES LA ESTRELLA. ADECUACIÓN DE COCINA;001057;93301;63200;50.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;203;RETIRO
2019/009007;INSTALACIONES DEPORTIVAS PARQUE JUAN PABLO II. OBRAS DE REFORMA Y MEJORA (ID: 11672);001057;93301;63200;600.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;216;HORTALEZA
2017/000188;CENTRO DEPORTIVO EN BARRIO LEGAZPI, C/RICARDO DAMAS. CONSTRUCCIÓN;001057;93301;62200;250.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;202;ARGANZUELA
2017/000195;EDIFICIO DOTACIONAL C/EDUARDO MORALES, 28. CONSTRUCCIÓN;001057;93301;62200;1.024.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;211;CARABANCHEL
2017/000198;ESCUELA DE MÚSICA C/CORREGIDOR DIEGO VALDERRÁBANO. CONSTRUCCIÓN;001057;93301;62200;1.298.000,00;05;EDUCACIÓN;03;ESCUELAS DE MÚSICA;214;MORATALAZ
2018/006008;ESCUELA INFANTIL MOSCARDÓ. CONSTRUCCIÓN;001057;93301;62200;182.000,00;05;EDUCACIÓN;01;ESCUELAS INFANTILES;212;USERA
2019/000074;EDIFICIOS SERVICIOS POLICIA MUNICIPAL Y SAMUR. OBRAS DE REFORMA;001067;13000;63200;133.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2019/000075;EDIFICIOS SERVICIOS BOMBEROS Y CENTRO FORMACIÓN SEGURIDAD Y EMERGENCIAS. REFORMA;001067;13000;63200;900.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2019/000132;SEMOVIENTES PARA PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001067;13201;62902;40.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2016/000613;APLICACIÓN GESTIÓN DE RECURSOS HUMANOS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001067;13201;64100;43.615,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2018/000140;SISTEMA TRATAMIENTO DE EMERGENCIAS DE POLICÍA MUNICPAL;001067;13201;64100;313.717,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2019/000011;ÚTILES Y HERRAMIENTAS PARA LOS SERVICIOS DE BOMBEROS;001067;13610;62302;85.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2017/000107;APLICACIÓN INFORMÁTICA PARA LOS SERVICIOS DE BOMBEROS;001067;13610;64100;90.266,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2019/000072;EQUIPAMIENTO SERVICIOS PARTICIPACIÓN CIUDADANA, TRANSPARENCIA Y GOBIERNO ABIERTO;001077;92011;62500;30.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000073;EQUIPAMIENTO SERVICIOS PORTAVOZ, COORDINACIÓN JUNTA GOBIERNO Y RELACIONES PLENO;001077;92011;62599;500;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000226;OFICINA ATENCIÓN CIUDADANAO LÍNEA MADRID CHAMBERÍ. MOBILIARIO;001077;92501;62500;50.400,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;207;CHAMBERI
2019/000230;OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID RETIRO. OTRO MOBILIARIO Y ENSERES;001077;92501;62599;30.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;203;RETIRO
2019/000225;OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CHAMBERÍ. SEÑALIZACIÓN;001077;92501;62901;8.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;207;CHAMBERI
2019/000231;REFORMAS Y MEJORAS EN ACCESIBILIDAD EN OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;001077;92501;63200;190.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2019/000227;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;001077;92501;63500;150.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2019/000227;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;001077;92501;63599;2.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2019/000229;SEÑALIZACIÓN EXTERIOR OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;001077;92501;63901;19.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2006/000513;SOPORTES Y DESARROLLOS CARTOGRÁFICOS URBANISMO;001087;15101;62999;41.989,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2003/001274;ADQUISICIÓN DE SUELO EN C/SAN CIPRIANO. ZONAS VERDES;001087;15102;60000;400.000,00;06;URBANISMO;00;ADQUISICIÓN SUELO PARA INFRASTRUCTURAS Y USO GENER;219;VICALVARO
