#Área,Política,Grupo,Programa,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922
4;6;2;00;Smart cities and innovation
4;6;3;00;"Scientific, technical and applied research"
4;9;3;00;Consumer protection
4;9;1;01;Computer services and communications
4;9;1;02;Innovation and technology
9;1;2;00;Executive Board Clerk's Office
9;1;2;01;Mayor's Office
9;1;2;02;Mayor's Cabinet
9;1;2;03;Department of Territorial Coordination and Associations
9;1;2;04;"Spokesperson for the Coordination of the Governing Board and Assembly Relations"
9;1;2;05;"Department of Citizen Participation, Transparency and an Open Government"
9;1;2;06;Department of Sustainable Urban Development
9;1;2;07;Department of Citizen Participation
9;1;2;08;"Department of Equality, Social Rights and Employment"
9;1;2;09;Department of Economy and the Treasury
9;1;2;10;Department of Economy, Employment and Citizen Participation
9;1;2;11;Department of Public Safety
9;1;2;12;Department of the Environment and Transportation
9;1;2;13;Department of Culture and Sports
9;1;2;14;Department of Infrastructure and Public Spaces
9;1;2;15;Department of Activity Licenses
9;1;2;16;Presidency of the Assembly
9;1;2;17;Department of Communication
9;1;2;18;"Department of Health, Safety and Emergencies"
9;1;2;19;Department of Sports
9;1;2;20;District Council
9;1;2;21;Area of Gender and Diversity Policies
9;1;2;30;General Secretariat of the Assembly
9;1;2;40;Municipal political groups
9;2;0;00;City Manager's Office administration
9;2;0;01;District administration and management
9;2;0;02;Organization and legal status
9;2;0;03;Hiring and services
9;2;0;04;Staff training
9;2;0;05;Labor relations
9;2;0;06;Promotion of transparency
9;2;0;06;Protocol and public events
9;2;0;07;Personnel management
9;2;0;08;Internal planning and inspection services
9;2;0;09;Legal advice
9;2;0;10;Office of the Presidency of the Assembly
9;2;0;11;"Administration and management of governing board spokesperson and assembly relations"
9;2;2;01;Relations with the Plenary
9;2;2;02;Media
9;2;2;03;Research general coordination
9;2;2;04;International relations and sponsorships
9;2;2;05;Administrative relations
9;2;2;06;City Hall general coordination
9;2;2;07;Institutional relations
9;2;2;08;Relations with districts
9;2;2;09;Municipal decentralization planning and development
9;2;2;22;Municipal Office against Fraud and Corruption
9;2;3;10;Statistics
9;2;3;20;Socioeconomic analysis
9;2;4;01;Citizen participation and volunteering
9;2;4;02;Business involvement
9;2;5;01;Citizen support and management improvements
9;2;9;01;Global credits
9;2;9;02;Contingency fund
9;3;1;00;Economy and Treasury administration and management
9;3;1;01;Budgeting and planning
9;3;1;02;Internal control and accounting
9;3;1;03;Accounting
9;3;1;04;Public-private collaborations
9;3;1;05;Public sector
9;3;1;06;Public policy analysis
9;3;2;00;Tax management
9;3;2;01;Economic and administrative claims
9;3;2;02;Taxpayer management and protection
9;3;3;01;Heritage management and protection
9;3;3;02;Buildings
9;3;3;03;Wealth management
9;3;4;01;Financial policy
9;3;4;05;Treasury
#
# Líneas de inversión de Madrid
X;00;;;General investments
X;01;;;Civil protection and safety
X;02;;;Traffic, parking and public transport
X;03;;;Social protection and promotion
X;04;;;Public health
X;05;;;Education
X;06;;;Urbanism
X;07;;;Infrastructures
X;08;;;Urban maintenance
X;09;;;Environment
X;10;;;Culture
X;11;;;Sports, youth and recreation
X;12;;;Other social public goods
X;13;;;Other economic public goods
X;14;;;Productive sectors
X;19;;;Unexpected
