#Centro,Descripcion Centro,Seccion,Descripcion Seccion,Programa,Descripcion Programa,Capitulo,Descripcion Capitulo,Economico,Descripcion Economico,,,C_DEFINITIVO,,,OBL_RECONOC
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,,,43427,,,1937.14
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,,,235407,,,15999.06
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,,,455034,,,29342
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12005,SUELDOS DEL GRUPO E,,,47306,,,3323.76
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12006,TRIENIOS,,,199663,,,13998.95
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,,,588342,,,40031.94
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,,,1491243,,,101876.6
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,,,97455,,,6798
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,13000,RETRIBUCIONES BÁSICAS,,,32873,,,1090.57
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,13002,OTRAS REMUNERACIONES,,,62866,,,2158.29
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,13100,RETRIBUCIONES BÁSICAS,,,0,,,453.94
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,13102,OTRAS REMUNERACIONES,,,0,,,865.57
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,,,155589,,,12868.39
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,,,790891,,,67977.18
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,16009,OTRAS CUOTAS,,,0,,,2499.97
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21200,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,,,47000,,,3665.21
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21300,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",,,20000,,,667.78
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21500,"REP., MANT. Y CONSERV. DE MOBILIARIO",,,3000,,,289.59
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,7500,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,5000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,7000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22104,VESTUARIO,,,10000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22199,OTROS SUMINISTROS,,,8500,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,4500,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,50000,,,2162.16
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22700,LIMPIEZA Y ASEO,,,168993,,,11229.07
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,,,40062,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,,,3500,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23399,OTRAS INDEMNIZACIONES,,,26200,,,1800
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,,,2428553,,,187457.93
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,10001,OTRAS REMUNERACIONES,,,0,,,8719.08
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,,,942749,,,67997.13
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,,,2067905,,,141256.45
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,,,326891,,,20162.7
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,,,66969,,,4842.85
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,,,119808,,,6545.07
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,,,69888,,,3631.5
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12006,TRIENIOS,,,138497,,,11054.48
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,,,444864,,,26796.49
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,,,1210972,,,72577.92
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,,,40811,,,2553.85
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,13000,RETRIBUCIONES BÁSICAS,,,13458,,,939.09
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,13002,OTRAS REMUNERACIONES,,,32481,,,2319.92
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,,,312139,,,27875.99
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,,,1846418,,,143208.8
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,16009,OTRAS CUOTAS,,,0,,,3041.07
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21200,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,,,26000,,,2021.64
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21300,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",,,10000,,,468.56
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,12000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,5000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,12000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22199,OTROS SUMINISTROS,,,12000,,,0
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22700,LIMPIEZA Y ASEO,,,95444,,,7892.77
001,AYUNTAMIENTO DE MADRID,002,PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,4,TRANSFERENCIAS CORRIENTES,48100,DOTACIÓN GRUPOS POLÍTICOS MUNICIPALES,,,495134,,,123783.5
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,,,101001,,,8416.67
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,,,14825,,,1120.15
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,,,21931,,,1566.41
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,,,29650,,,2240.3
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,,,14825,,,968.57
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,,,9984,,,727.23
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,,,49920,,,3026.25
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12006,TRIENIOS,,,27848,,,1805.53
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,,,70983,,,5069.89
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,,,184458,,,13175.27
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,,,9191,,,560.97
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,,,33862,,,2821.71
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,,,112717,,,9362.74
001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,,,10000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,,,59300,,,4480.6
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,,,44475,,,2905.71
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,,,23020,,,1454.46
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,,,10483,,,605.25
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12006,TRIENIOS,,,34322,,,2597.98
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,,,97148,,,6920.2
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,,,238009,,,16969.54
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,,,9782,,,695.72
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,13000,RETRIBUCIONES BÁSICAS,,,18746,,,1376.41
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,13002,OTRAS REMUNERACIONES,,,24763,,,1768.65
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,,,25184,,,2435.65
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,,,112322,,,8800.97
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,498634,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,,,140000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23020,DEL PERSONAL NO DIRECTIVO,,,3000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23120,GASTOS DE VIAJE DEL PERSONAL NO DIRECTIVO,,,4000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23121,LOCOMOCIÓN URBANA PERSONAL NO DIRECTIVO,,,1000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,4,TRANSFERENCIAS CORRIENTES,48200,PARA ATENCIONES BENÉFICAS Y ASISTENCIALES,,,32000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,4,TRANSFERENCIAS CORRIENTES,48901,OTRAS TRANSFERENCIAS  A INSTITUC. SIN FINES  LUCRO,,,10483500,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,23290,COOPERACIÓN INTERNACIONAL Y FONDOS EUROPEOS,7,TRANSFERENCIAS DE CAPITAL,78200,PARA ATENCIONES BENÉFICAS Y ASISTENCIALES,,,32000,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,,,88950,,,6720.9
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,,,15566,,,968.57
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,,,19968,,,1210.5
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12006,TRIENIOS,,,25619,,,2225.75
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,,,95116,,,6795.43
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,,,235343,,,16716.98
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,,,6430,,,492.81
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,13100,RETRIBUCIONES BÁSICAS,,,57726,,,4725.58
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,13102,OTRAS REMUNERACIONES,,,1402,,,116.72
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,,,32661,,,3069.93
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,,,113220,,,6198.19
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21200,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,,,206534,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21300,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",,,51714,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21500,"REP., MANT. Y CONSERV. DE MOBILIARIO",,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22200,SERVICIOS DE TELECOMUNICACIONES,,,0,,,0
001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,46200,INNOVACIÓN Y CIUDAD INTELIGENTE,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,40000,,,0
