Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;003;92222;62599;2018/001105;2018/001105;EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7500,00;0,00;7500,00;7500,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;17101;61921;2018/005025;2018/005025;RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DEL PAISAJE;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;110000,00;110000,00;110000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;17101;61921;2018/005026;2018/005026;RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DE LA PERMEABILIDAD PEATONAL;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;61000,00;61000,00;61000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;012;46200;62300;2018/000261;2018/000261;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;7500,00;7500,00;92,25;0,00;7407,75;7407,75;0,00;0,00;0,00
;;001;012;46200;62301;2018/000261;2018/000261;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;170000,00;-107500,00;62500,00;58677,61;0,00;3822,39;3822,39;0,00;0,00;0,00
;;001;012;46200;63600;2018/001112;2018/001112;CENTRO DE INNOVACIÓN LA N@VE. REPOSICIÓN EQUIPOS DE COMUNICACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;0,00;150000,00;150000,00;150000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62300;2018/005024;2018/005024;LABORATORIO DE FABRICACIÓN DIGITAL (FABLAB) DE LA NAVE. INSTALACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;430000,00;430000,00;430000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62301;2018/005023;2018/005023;EQUIPOS AUDIOVISUALES DE LA NAVE. INSTALACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;1000000,00;1000000,00;1000000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62599;2018/006085;2018/006085;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. MOBILIARIO;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;325000,00;325000,00;325000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62600;2018/006086;2018/006086;CENTRO DE INNOVACIÓN LA N@VE. EQUIPOS DE COMUNICACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;30000,00;30000,00;30000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005014;2018/005014;COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN EMISIONES GASEOSAS DE VALDEMINGÓMEZ;218;VILLA DE VALLECAS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;250000,00;250000,00;250000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005015;2018/005015;COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN DE NANOPARTÍCULAS;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;430000,00;430000,00;430000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005016;2018/005016;COMPRA PÚBLICA DE INNOVACIÓN. DETECCIÓN REMOTA VEHÍCULOS ALTAMENTE CONTAMINANTES;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;1050000,00;1050000,00;1050000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005017;2018/005017;COMPRA PÚBLICA DE INNOVACIÓN. BIOMARCADORES PARA LA MEDIDA DE LA CALIDAD DEL AIRE;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;275000,00;275000,00;275000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005018;2018/005018;COMPRA PÚBLICA DE INNOVACIÓN. CARRO DE LIMPIEZA CON ASISTENCIA ELÉCTRICA;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;500000,00;500000,00;500000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005019;2018/005019;COMPRA PÚBLICA DE INNOVACIÓN. SENSORES EN PAPELERAS PARA OPTIMIZAR RECOGIDA DE RESIDUOS;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;350000,00;350000,00;350000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005020;2018/005020;COMPRA PÚBLICA DE INNOVACION. BIOFILTROS  REDUCCIÓN EMISIONES ATMÓSFÉRICA TÚNELES CALLE 30;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;80000,00;80000,00;80000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005021;2018/005021;COMPRA PÚBLICA DE INNOVACION. TRATAMIENTO DE GASES EN PAREDES DE TÚNELES;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;200000,00;200000,00;200000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005022;2018/005022;COMPRA PÚBLICA DE INNOVACION.CARGA VEHÍCULOS ELÉCTRICOS EN LA NAVE CON ENERGÍAS RENOVABLES;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;670000,00;670000,00;670000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/006000;2018/006000;TECNOLOGÍA INNOVADORA APLICADA A LA DISCAPACIDAD AUDITIVA SEVERA;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;333355,00;333355,00;0,00;0,00;333355,00;331700,93;0,00;0,00;0,00
;;001;016;92000;62599;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;14446,67;14446,67;0,00;0,00;14446,67;14446,67;14446,67;0,00;0,00
;;001;016;92000;62599;2018/000078;2018/000078;EQUIPAMIENTO SERVICIOS GERENCIA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;-14446,67;553,33;553,33;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;62599;2018/002018;2018/002018;PRÓRROGA CRÉDITO 001016/92000/62599/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;10000,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;827,00;768,28;1595,28;0,00;0,00;1595,28;1595,28;768,87;0,00;768,87
;;001;016;92000;63301;2018/002020;2018/002020;PRÓRROGA CRÉDITO 001016/92000/63301/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1281,72;1281,72;1281,72;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005027;2018/005027;PABELLÓN DE LOS JARDINES DE CECILIO RODRÍGUEZ. REPARACIÓN CUBIERTA;203;RETIRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;70000,00;70000,00;55988,20;0,00;14011,80;14011,80;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005028;2018/005028;EDIFICIO PLAZA DE LA VILLA 5 Y 6. MEJORA PLAN DE AUTOPROTECCIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;21000,00;21000,00;21000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005029;2018/005029;EDIFICIO CALLE BAILEN, 41. CORTINAS DE CONTROL DE HUMOS EN LAS VÍAS DE EVACUACIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;16000,00;16000,00;16000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005030;2018/005030;EDIFICIO CALLE RAIMUNDO FERNÁNDEZ VILLAVERDE,32. OBRAS DE ADAPTACIÓN DE ESPACIOS;207;CHAMBERI;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;24500,00;24500,00;24500,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;62300;2018/006081;2018/006081;EDIFICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO. DESFIBRILADORES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;18000,00;18000,00;18000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;62301;2018/006113;2018/006113;EDIFICIO C/HERMANOS ÁLVAREZ QUINTERO,3. ADECUACIÓN SISTEMA INTEGRAL DE SEGURIDAD;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;121000,00;121000,00;121000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;62500;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1500,00;0,00;1500,00;1043,03;0,00;456,97;456,97;456,97;0,00;0,00
;;001;027;23100;62599;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1100,00;1100,00;121,21;0,00;978,79;978,79;0,00;0,00;0,00
;;001;027;23100;63301;2018/000052;2018/000052;EDIFICIOS ADSCRITOS AL AREA DE EQUIDAD, DERECHOS SOCIALES Y EMPLEO. INSTALACIONES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;406240,00;-4200,00;402040,00;402040,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63301;2018/001020;2018/001020;EDIFICIO SEDE CENTRO MUNICIPAL URGENCIAS SOCIALES. INSTALACIONES;213;PUENTE DE VALLECAS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;08;SAMUR - SOCIAL;;;;;;;5760,00;0,00;5760,00;0,40;0,00;5759,60;5759,60;5759,60;0,00;5759,60
4;SC Y CE FINANC. CON RTG;001;027;23100;63301;2018/006111;2018/006111;CENTRO DE ALZHEIMER DOCTOR SALGADO ALBA. ADECUACIÓN PLAN DE AUTOPROTECCIÓN;211;CARABANCHEL;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;15000,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;63301;2018/006112;2018/006112;CENTRO DE ACOGIDA SAN ISIDRO. MEJORA PROTECCIÓN CONTRA INCENDIOS;209;MONCLOA-ARAVACA;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;06;PERSONAS SIN HOGAR;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;4000,00;4000,00;4000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63500;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63599;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS ÁREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23102;62599;2017/000225;2017/000225;CENTROS DE ATENCIÓN A MENORES Y FAMILIAS. MOBILIARIO;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;14077,00;-14075,40;1,60;1,60;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23102;62599;2017/000225;2017/010225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y JÓVENES Nº 5, VICÁLVARO. MOBILIARIO;219;VICALVARO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;1921,82;1921,82;0,00;0,00;1921,82;1921,82;1921,82;0,00;1921,82
;;001;027;23102;62599;2017/000225;2017/020225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y JÓVENES FUENCARRAL-EL PARDO. MOBILIARIO;208;FUENCARRAL-EL PARDO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;5221,20;5221,20;0,00;0,00;5221,20;5221,20;5221,20;0,00;5221,20
;;001;027;23102;62599;2017/000225;2017/040225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y JÓVENES HORTALEZA. MOBILIARIO;216;HORTALEZA;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;6932,38;6932,38;0,00;0,00;6932,38;6932,38;6932,38;0,00;6932,38
4;SC Y CE FINANC. CON RTG;001;027;23102;62599;2018/006042;2018/006042;CENTRO SOCIAL PARA ADOLESCENTES PALACETE QUINTA MOLINOS. MOBILIARIO;220;SAN BLAS-CANILLEJAS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;44469,00;44469,00;13563,24;0,00;30905,76;30905,76;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23102;63599;2018/006089;2018/006089;CENTROS ATENCIÓN INFANCIA Y CENTROS APOYO ADOLESCENTES. REPOSICIÓN OTRO MOBILIARIO;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;03;INFANCIA Y FAMILIA;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;95000,00;95000,00;95000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23103;62599;2017/000255;2017/000255;EQUIPAMIENTO CENTROS DE DÍA DE MAYORES Y CENTROS DE MAYORES;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;;;;;;;32862,00;-32862,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23103;62599;2017/000255;2017/020255;EQUIPAMIENTO CENTRO DE MAYORES PEZ AUSTRAL;203;RETIRO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;2030,38;2030,38;0,00;0,00;2030,38;2030,38;2030,38;0,00;2030,38
;;001;027;23103;62599;2018/001056;2018/001056;CENTROS MAYORES CIUDAD DE MADRID. ADQUISICIÓN ARCHIVADORES PARA GABINETES PODOLOGÍA;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;5182,00;-0,42;5181,58;0,00;0,00;5181,58;5181,58;0,00;0,00;0,00
;;001;027;23103;62599;2018/001159;2018/001159;EQUIPAMIENTO GABINETES PODOLOGICOS CENTROS MUNICIPALES DE MAYORES;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;33323,40;33323,40;33323,40;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23103;62599;2018/006043;2018/006043;EQUIPAMIENTO CENTRO DE MAYORES PEZ AUSTRAL;203;RETIRO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;63872,00;63872,00;0,29;0,00;63871,71;63871,71;63871,71;0,00;63871,71
4;SC Y CE FINANC. CON RTG;001;027;23103;62599;2018/006102;2018/006102;CENTRO DE DIA DE MAYORES ALHAMBRA. OTRO MOBILIARIO Y ENSERES;210;LATINA;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;245339,00;245339,00;245339,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23103;62599;2018/006103;2018/006103;CENTRO DE DIA DE MAYORES RAFAEL CALVO. OTRO MOBILIARIO Y ENSERES;207;CHAMBERI;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;126000,00;126000,00;126000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23103;63599;2017/000255;2017/000255;EQUIPAMIENTO CENTROS DE DÍA DE MAYORES Y CENTROS DE MAYORES;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;;;;;;;14000,00;0,00;14000,00;14000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23106;62300;2018/000214;2018/000214;EQUIPAMIENTO CENTROS ATENCIÓN PERSONAS SIN HOGAR;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;06;PERSONAS SIN HOGAR;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23106;62599;2018/000214;2018/000214;EQUIPAMIENTO CENTROS ATENCIÓN PERSONAS SIN HOGAR;998;VARIOS DISTRITOS;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;06;PERSONAS SIN HOGAR;;;;;;;10000,00;-10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
