Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Código proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo;C Disponible ;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;027;32301;62999;2016/000371;2016/040371;ESCUELA INFANTIL EL MANANTIAL. MATERIAL DIDÁCTICO;210;LATINA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;432,77;432,77;0,00;0,00;432,77;432,77;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/040371;ESCUELA INFANTIL EL MANANTIAL. MATERIAL DIDÁCTICO;210;LATINA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;485,93;485,93;0,00;0,00;485,93;485,93;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/050371;ESCUELA INFANTIL HIEDRA. MATERIAL DIDÁCTICO;220;SAN BLAS-CANILLEJAS;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;881,99;881,99;0,00;0,00;881,99;881,99;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/060371;ESCUELA INFANTIL LA BRISA. MATERIAL DIDÁCTICO;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;432,76;432,76;0,00;0,00;432,76;432,76;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/060371;ESCUELA INFANTIL LA BRISA. MATERIAL DIDÁCTICO;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;2189,46;2189,46;0,00;0,00;2189,46;2189,46;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/070371;ESCUELA INFANTIL LA CORNISA. MATERIAL DIDÁCTICO;212;USERA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1277,76;1277,76;0,00;0,00;1277,76;1277,76;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/080371;ESCUELA INFANTIL LA LUNA. MATERIAL DIDÁCTICO;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;279,50;279,50;0,00;0,00;279,50;279,50;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/080371;ESCUELA INFANTIL LA LUNA. MATERIAL DIDÁCTICO;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1748,69;1748,69;0,00;0,00;1748,69;1748,69;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/090371;ESCUELA INFANTIL LA PALOMA. MATERIAL DIDÁCTICO;201;CENTRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;881,99;881,99;0,00;0,00;881,99;881,99;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/100371;ESCUELA INFANTIL LAS NUBES. MATERIAL DIDÁCTICO;203;RETIRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;319,44;319,44;0,00;0,00;319,44;319,44;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/110371;ESCUELA INFANTIL LOS JUNCOS. MATERIAL DIDÁCTICO;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;432,77;432,77;0,00;0,00;432,77;432,77;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/110371;ESCUELA INFANTIL LOS JUNCOS. MATERIAL DIDÁCTICO;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;537,99;537,99;0,00;0,00;537,99;537,99;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/120371;ESCUELA INFANTIL LOS PINOS. MATERIAL DIDÁCTICO;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;881,99;881,99;0,00;0,00;881,99;881,99;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/130371;ESCUELA INFANTIL LUIS BELLO. MATERIAL DIDÁCTICO;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;306,46;306,46;0,00;0,00;306,46;306,46;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/130371;ESCUELA INFANTIL LUIS BELLO. MATERIAL DIDÁCTICO;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;407,13;407,13;0,00;0,00;407,13;407,13;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/140371;ESCUELA INFANTIL VEO VEO. MATERIAL DIDÁCTICO;215;CIUDAD LINEAL;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;340,65;340,65;0,00;0,00;340,65;340,65;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/140371;ESCUELA INFANTIL VEO VEO. MATERIAL DIDÁCTICO;215;CIUDAD LINEAL;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1651,41;1651,41;0,00;0,00;1651,41;1651,41;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/010374;EQUIPAMIENTO ESCUELA INFANTIL LA PALOMA;201;CENTRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;3727,42;3727,42;0,00;0,00;3727,42;3727,42;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/010374;EQUIPAMIENTO ESCUELA INFANTIL LA PALOMA;201;CENTRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;8632,61;8632,61;0,00;0,00;8632,61;8632,61;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/020374;EQUIPAMIENTO ESCUELA INFANTIL EL ALBA;202;ARGANZUELA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;885,94;885,94;0,00;0,00;885,94;885,94;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/020374;EQUIPAMIENTO ESCUELA INFANTIL EL ALBA;202;ARGANZUELA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1734,25;1734,25;0,00;0,00;1734,25;1734,25;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/030374;EQUIPAMIENTO ESCUELA INFANTIL LA CARACOLA;208;FUENCARRAL-EL PARDO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;172,55;172,55;0,00;0,00;172,55;172,55;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/050374;EQUIPAMIENTO ESCUELA INFANTIL EL SOL, C/ ENRIQUE JARDIEL PONCELA, 8;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;5533,91;5533,91;0,00;0,00;5533,91;5533,91;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/050374;EQUIPAMIENTO ESCUELA INFANTIL EL SOL, C/ ENRIQUE JARDIEL PONCELA, 8;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;6309,60;6309,60;0,00;0,00;6309,60;6309,60;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/070374;EQUIPAMIENTO ESCUELA INFANTIL AGUA DULCE;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;276,82;276,82;0,00;0,00;276,82;276,82;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/080374;EQUIPAMIENTO ESCUELA INFANTIL CAMPANILLA;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;3481,50;3481,50;0,00;0,00;3481,50;3481,50;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/090374;EQUIPAMIENTO ESCUELA INFANTIL CIELO AZUL;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1512,35;1512,35;0,00;0,00;1512,35;1512,35;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/100374;EQUIPAMIENTO ESCUELA INFANTIL EL BOSQUE;202;ARGANZUELA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1347,60;1347,60;0,00;0,00;1347,60;1347,60;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/110374;EQUIPAMIENTO ESCUELA INFANTIL EL MANANTIAL;210;LATINA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;307,68;307,68;0,00;0,00;307,68;307,68;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/120374;EQUIPAMIENTO ESCUELA INFANTIL ESCUELAS DE SAN ANTÓN;201;CENTRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;439,42;439,42;0,00;0,00;439,42;439,42;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/130374;EQUIPAMIENTO ESCUELA INFANTIL HIEDRA;220;SAN BLAS-CANILLEJAS;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;461,52;461,52;0,00;0,00;461,52;461,52;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/140374;EQUIPAMIENTO ESCUELA INFANTIL LA BRISA;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1631,85;1631,85;0,00;0,00;1631,85;1631,85;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/140374;EQUIPAMIENTO ESCUELA INFANTIL LA BRISA;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;3728,52;3728,52;0,00;0,00;3728,52;3728,52;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/150374;EQUIPAMIENTO ESCUELA INFANTIL LA CORNISA;212;USERA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;2540,85;2540,85;0,00;0,00;2540,85;2540,85;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/160374;EQUIPAMIENTO ESCUELA INFANTIL LA CORTE DEL FARAÓN;208;FUENCARRAL-EL PARDO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;153,84;153,84;0,00;0,00;153,84;153,84;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/160374;EQUIPAMIENTO ESCUELA INFANTIL LA CORTE DEL FARAÓN;208;FUENCARRAL-EL PARDO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;423,50;423,50;0,00;0,00;423,50;423,50;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/180374;EQUIPAMIENTO ESCUELA INFANTIL LA LUNA;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;821,47;821,47;0,00;0,00;821,47;821,47;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/180374;EQUIPAMIENTO ESCUELA INFANTIL LA LUNA;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;7548,08;7548,08;0,00;0,00;7548,08;7548,08;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/190374;EQUIPAMIENTO ESCUELA INFANTIL LA ROSA DEL AZAFRÁN;208;FUENCARRAL-EL PARDO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;153,84;153,84;0,00;0,00;153,84;153,84;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/200374;EQUIPAMIENTO ESCUELA INFANTIL LAS AMAPOLAS;211;CARABANCHEL;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;2928,53;2928,53;0,00;0,00;2928,53;2928,53;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/210374;EQUIPAMIENTO ESCUELA INFANTIL LAS NUBES;203;RETIRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1307,96;1307,96;0,00;0,00;1307,96;1307,96;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/210374;EQUIPAMIENTO ESCUELA INFANTIL LAS NUBES;203;RETIRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;385,73;385,73;0,00;0,00;385,73;385,73;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/220374;EQUIPAMIENTO ESCUELA INFANTIL LAS VIÑAS;209;MONCLOA-ARAVACA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;3789,36;3789,36;0,00;0,00;3789,36;3789,36;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/230374;EQUIPAMIENTO ESCUELA INFANTIL LOS JUNCOS;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;8154,91;8154,91;0,00;0,00;8154,91;8154,91;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/240374;EQUIPAMIENTO ESCUELA INFANTIL LOS PINOS;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1347,60;1347,60;0,00;0,00;1347,60;1347,60;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/250374;EQUIPAMIENTO ESCUELA INFANTIL LUIS BELLO;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1808,38;1808,38;0,00;0,00;1808,38;1808,38;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/260374;EQUIPAMIENTO ESCUELA INFANTIL LUISA FERNANDA;213;PUENTE DE VALLECAS;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;675,18;675,18;0,00;0,00;675,18;675,18;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/270374;EQUIPAMIENTO ESCUELA INFANTIL MOLINOS DE VIENTO;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1374,11;1374,11;0,00;0,00;1374,11;1374,11;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/270374;EQUIPAMIENTO ESCUELA INFANTIL MOLINOS DE VIENTO;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;2928,53;2928,53;0,00;0,00;2928,53;2928,53;0,00;0,00;0,00
;;001;027;32301;62599;2016/000374;2016/280374;EQUIPAMIENTO ESCUELA INFANTIL OSA MENOR;201;CENTRO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;1181,25;1181,25;0,00;0,00;1181,25;1181,25;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2016/290374;EQUIPAMIENTO ESCUELA INFANTIL TARABILLA;215;CIUDAD LINEAL;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;637,60;637,60;0,00;0,00;637,60;637,60;0,00;0,00;0,00
;;001;027;32301;63599;2016/000374;2017/000701;ESCUELA INFANTIL LOS PINOS. MOBILIARIO Y ENSERES;217;VILLAVERDE;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;308,55;308,55;0,00;0,00;308,55;308,55;308,55;0,00;308,55
;;001;027;32301;62599;2016/000374;2017/000707;ESCUELA INFANTIL EL SOL. MOBILIARIO Y ENSERES;205;CHAMARTIN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;47,07;47,07;0,00;0,00;47,07;47,07;47,07;0,00;47,07
