#Título,Descripción
Impuesto sobre el incremento del valor de los terrenos de naturaleza urbana,"El IIVTNU es un tributo directo que grava el incremento de valor que ha experimentado un terreno mientras una persona ha sido propietaria de un piso, aparcamiento, trastero, local, terreno, etc… Tiene que pagar este impuesto la persona que vende un piso, una plaza de garaje, un trastero, una tienda, una casa, etc.., por el incremento del valor que ha experimentado el terreno mientras ha sido propietario. En caso de herencia o donación, es el nuevo propietario quien tiene que pagar el impuesto. La gestión de este impuesto es íntegramente municipal."
Tasas y precios públicos,"Cuando el Ayuntamiento realiza actividades que benefician o interesan particularmente a los ciudadanos, puede exigir tasas o precios públicos. También, se exigirá una tasa cuando tenga lugar el aprovechamiento especial de la vía pública a favor de un particular. Ejemplos típicos de actividades por las cuales se exige una tasa son la recogida de basuras, la concesión de una licencia urbanística o un vado. Tiene que pagar la tasa la persona que se beneficia del dominio público o de un servicio o actividad que realiza el Ayuntamiento. Es el Ayuntamiento quien determina mediante las ordenanzas fiscales el importe de la tasa. La diferencia entre una tasa y un precio público es que la tasa se establece para servicios que sólo presta el Ayuntamiento (ejemplo los vados), y el precio público se utiliza para aquellos servicios que también pueden ser prestados por una empresa privada (como por ejemplo las entradas a instalaciones deportivas, escuelas infantiles, etc.)."
Contribuciones especiales,"Cuando el Ayuntamiento realiza obras públicas o establece servicios de los cuales el ciudadano obtiene un beneficio o incrementa el valor de sus bienes, se pueden exigir contribuciones especiales."
Resultado presupuestario ajustado,"El resultado presupuestario ajustado forma parte del estado de liquidación del presupuesto y es la diferencia entre los derechos de cobro que se han liquidado en el ejercicio y las obligaciones de pago reconocidas en el mismo periodo. Por tanto, es una magnitud que refleja el superávit o déficit del ejercicio del Ayuntamiento. El resultado presupuestario se tiene que ajustar con las obligaciones que se financian con remanente de tesorería para gastos generales y las desviaciones de financiación del ejercicio derivadas de los gastos con financiación afectada, ya que estas circunstancias distorsionan el resultado presupuestario. Cuando el resultado presupuestario ajustado del ejercicio es negativo, nos encontramos delante de una situación financiera que tiene que ser analizada y  si es el caso corregida, ya  que este saldo manifiesta la incapacidad de los derechos reconocidos en el ejercicio para atender las obligaciones generadas en el mismo, y por tanto un incumplimiento del principio de estabilidad presupuestaria."
Remanente de tesoreria para gastos generales,"El remanente de tesorería para gastos generales forma parte del estado de liquidación del presupuesto y es la suma de los derechos pendientes de cobro (del mismo ejercicio y del anterior) más los fondos líquidos de tesorería y menos los créditos pendientes de pago (del mismo ejercicio y del anterior). Muestra la situación financiera del Ayuntamiento al finalizar el ejercicio. Es un estado contable que ofrece datos acumulativos del ejercicio que se cierra y de los anteriores, así como de su resultado, si es positivo y se han realizado las necesarias provisiones, constituye una fuente de financiación de mayores gastos presupuestarios. El remanente de tesorería se tiene que calcular teniendo en cuenta la minoración de los derechos pendientes de cobro que se consideren de dificil o imposible recaudación."
Ahorro neto,"La magnitud del ahorro neto es un indicador de la situación financiera de la entidad local, de la capacidad de poder atender en su vencimiento la carga financiera del endeudamiento. Se calcula de la siguiente manera: suma de los ingresos liquidados correspondiente a impuestos, tasas y precios públicos, transferencias corrientes y ingresos patrimoniales, menos los gastos relativos a personal, bienes corrientes y servicios y transferencias corrientes (no se contemplan los gastos financiados con remanente de tesorería para gastos generales). A este resultado se le tiene que restar la anualidad teórica de amortización correspondiente a los préstamos concertados a largo plazo y a los avales a terceros pendientes de reembolsar. El ahorro neto positivo constituye una fuente de financiación para los gastos de capital no financieros."
Periodo medio de pago,"El indicador Periodo medio de pago (PMP)  mide el  plazo que transcurre desde la entrega de los bienes o la prestación de los servicios a cargo del proveedor y el pago material de la operación. Según la normativa vigente este periodo no puede superar los 30 días."
Capacidad de financiación,"La capacidad o necesidad de financiación de un Ayuntamiento se mide como la diferencia entre los ingresos no financieros y los gastos no financieros. Cuando el resultado es positivo (capacidad de financiación), indica que la entidad tiene capacidad de financiación o superávit de presupuesto no financiero. En cambio, si el resultado es negativo, indica que la entidad necesita financiación, es decir, que tiene que recurrir al endeudamiento."
Regla del gasto,"La regla del gasto establece un techo de gasto para el presupuesto de las Administraciones públicas. La normativa vigente establece que el gasto computable del presupuesto del Ayuntamiento no puede superar la tasa de referencia del producto interior bruto (PIB) a medio plazo de la economía española, siendo posible superarla únicamente en el supuesto de que ese exceso se compense con aumentos de ingresos de carácter permanente."
Deuda viva,"La deuda viva es la totalidad de la deuda pendiente de pagar que tiene el Ayuntamiento procedente de préstamos a largo plazo con entidades financieras y avales, es decir, es el capital pendiente de amortizar más los intereses generados."
Presupuestado,"Datos económicos del presupuesto inicialmente aprobado más-menos las modificaciones presupuestarias que se efectúen a lo largo del ejercicio."
Ingresado,"Importe que corresponde a los derechos reconocidos o derechos de cobro por parte del Ayuntamiento o de sus Organismos Autónomos."
Gastado,"Importe que corresponde a las obligaciones reconocidas u obligaciones de gasto por parte del Ayuntamiento o de sus Organismos Autónomos ante terceros."
Líneas de inversión,"La clasificación de las inversiones del Ayuntamiento y de los Organismos Autónomos se realiza siguiendo la estructura que establece la Orden EHA/3565/2008 de 3 de diciembre, por la que se aprueba la estructura de los presupuestos de las entidades locales.<br/>En el Ayuntamiento de Madrid, además, se utiliza una clasificación por Líneas de inversión, herramienta más sencilla y simplificada para analizar y exponer el destino de las inversiones.<br/>Las Líneas de inversión son las siguientes:<ul><li>01: Protección Civil y seguridad ciudadana</li><li>02: Tráfico, estacionamiento y transporte público</li><li>03: Protección y promoción social</li><li>04: Salud pública</li><li>05: Educación</li><li>06: Urbanismo</li><li>07: Infraestructuras</li><li>08: Mantenimiento urbano</li><li>09: Medio ambiente</li><li>10: Cultura</li><li>11: Deportes, juventud y esparcimiento</li><li>12: Otros bienes públicos de carácter social</li><li>13: Otros bienes públicos de carácter económico</li><li>14: Sectores productivos</li><li>19: Imprevistos</li><li>00: Inversiones de carácter general (administrativos y pendientes de especificar)</li></ul>"
Políticas de Gasto,"Las políticas de gasto se definen en la Orden Ministerial EHA/419/2014 de 14 de marzo, que modifica la Orden Ministerial EHA/3565/2008 de 3 de diciembre. El Ayuntamiento de Madrid y sus Organismos Autónomos presupuestan los gastos por programas. Atendiendo a la finalidad y a los objetivos que pretenden realizar, los programas se pueden agrupar por políticas de gasto por las que se tipifican todos los gastos de competencia municipal, permitiendo la comparación con otras entidades locales, ya que esta clasificación es idéntica para todas las Corporaciones Locales."
Terceros,"Personas físicas o jurídicas que mantienen una relación con el Ayuntamiento, sea por contratos, convenios, etc. No se incluyen los gastos del personal municipal ni las ayudas y subvenciones que perciban personas físicas."
Inversiones por Distritos,"Este apartado contempla tanto las inversiones que se presupuestan y gestionan directamente por los Distritos, como aquéllas que se presupuestan y gestionan por otras Áreas de Gobierno y Organismos Autónomos, con incidencia directa en los Distritos correspondientes."
Varios Distritos,"Son inversiones que afectan a varios Distritos y no se puede cuantificar la incidencia concreta en cada uno de ellos, bien por tratarse de servicios con impacto en toda la ciudad o bien por afectar físicamente a más de un Distrito."
No Distritalizables,"Son inversiones que no redundan en un beneficio directo para los Distritos, como por ejemplo el equipamiento de servicios administrativos."
