Fondo;Descripci¢n;Centro;Secci¢n;Programa;Subconcepto;Programa de Financiaci¢n;Definici¢n proyecto;T°tulo;Distrito;Texto Distrito;L°nea Inversi¢n;Descripci¢n L°nea de Inversi¢n;Subl°ne de Inversi¢n;Descripci¢n Subl°ne de Inversi¢n;Etiqueta 16;Descripci¢n etiqueta 16;Etiqueta 17;Descripci¢n etiqueta 17;Etiqueta 18;Descripci¢n etiqueta 18;Cred. Inicial(1);Modifc. (2);C. Definitivo (3);C Disponible (4);Re. Pte. Util.(5);C. Autorizado (6);C. Dispuesto (7);Obl. Reconoc. (8);C. Ordenado (9);Pagos Real (10)
;;001;003;92222;62500;2018/001105;2018/001105;EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCI‡N;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;23000,00;0,00;23000,00;18389,54;0,00;4610,46;4610,46;0,00;0,00;0,00
;;001;003;92222;62599;2018/001105;2018/001105;EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCI‡N;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7500,00;0,00;7500,00;7500,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;17101;61921;2018/005025;2018/005025;IFS - RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DEL PAISAJE;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;110000,00;110000,00;99715,00;0,00;10285,00;10285,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;17101;61921;2018/005026;2018/005026;IFS - RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DE LA PERMEABILIDAD PEATONAL;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;61000,00;61000,00;12763,35;0,00;48236,65;48236,65;0,00;0,00;0,00
;;001;012;46200;62300;2018/000261;2018/000261;SERVICIOS INNOVACI‡N Y PROMOCI‡N DE LA CIUDAD. INSTALACIONES TêCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;7500,00;7500,00;92,25;0,00;7407,75;7407,75;0,00;0,00;0,00
;;001;012;46200;62301;2018/000261;2018/000261;SERVICIOS INNOVACI‡N Y PROMOCI‡N DE LA CIUDAD. INSTALACIONES TêCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;170000,00;-112500,00;57500,00;53677,61;0,00;3822,39;3822,39;3822,39;0,00;3822,39
;;001;012;46200;63600;2018/001112;2018/001112;CENTRO DE INNOVACI‡N LA N@VE. REPOSICI‡N EQUIPOS DE COMUNICACI‡N;217;VILLAVERDE;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;;;;;;;0,00;150000,00;150000,00;1568,34;0,00;148431,66;148431,66;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62300;2018/005024;2018/005024;IFS - LABORATORIO DE FABRICACI‡N DIGITAL (FABLAB) DE LA NAVE. INSTALACI‡N;217;VILLAVERDE;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;430000,00;430000,00;430000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62301;2018/005023;2018/005023;IFS - EQUIPOS AUDIOVISUALES DE LA NAVE. INSTALACI‡N;217;VILLAVERDE;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;1000000,00;1000000,00;243750,00;690910,00;65340,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62599;2018/006085;2018/006085;IFS - SERVICIOS INNOVACI‡N Y PROMOCI‡N DE LA CIUDAD. MOBILIARIO;998;VARIOS DISTRITOS;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;325000,00;325000,00;325000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;62600;2018/006086;2018/006086;IFS - CENTRO DE INNOVACI‡N LA N@VE. EQUIPOS DE COMUNICACI‡N;217;VILLAVERDE;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;30000,00;30000,00;746,79;0,00;29253,21;29253,21;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005014;2018/005014;IFS - COMPRA PÈBLICA DE INNOVACI‡N. MEDICI‡N EMISIONES GASEOSAS DE VALDEMING‡MEZ;218;VILLA DE VALLECAS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;250000,00;250000,00;250000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005015;2018/005015;IFS - COMPRA PÈBLICA DE INNOVACI‡N. MEDICI‡N DE NANOPART÷CULAS;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;430000,00;430000,00;430000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005016;2018/005016;IFS - COMPRA PÈBLICA DE INNOVACI‡N. DETECCI‡N REMOTA VEH÷CULOS ALTAMENTE CONTAMINANTES;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;1050000,00;1050000,00;1050000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005017;2018/005017;IFS - COMPRA PÈBLICA DE INNOVACI‡N. BIOMARCADORES PARA LA MEDIDA DE LA CALIDAD DEL AIRE;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;275000,00;275000,00;275000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005018;2018/005018;IFS - COMPRA PÈBLICA DE INNOVACI‡N. CARRO DE LIMPIEZA CON ASISTENCIA ELêCTRICA;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;500000,00;500000,00;500000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005019;2018/005019;IFS - COMPRA PÈBLICA DE INNOVACI‡N. SENSORES EN PAPELERAS PARA OPTIMIZAR RECOGIDA DE RESIDUOS;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;350000,00;350000,00;350000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005020;2018/005020;IFS - COMPRA PÈBLICA DE INNOVACION. BIOFILTROS  REDUCCI‡N EMISIONES ATM‡SFêRICA TÈNELES CALLE 30;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;80000,00;80000,00;80000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005021;2018/005021;IFS - COMPRA PÈBLICA DE INNOVACION. TRATAMIENTO DE GASES EN PAREDES DE TÈNELES;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;200000,00;200000,00;200000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/005022;2018/005022;IFS - COMPRA PÈBLICA DE INNOVACION.CARGA VEH÷CULOS ELêCTRICOS EN LA NAVE CON ENERG÷AS RENOVABLES;217;VILLAVERDE;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;670000,00;670000,00;670000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;012;46300;64099;2018/006000;2018/006000;IFS - TECNOLOG÷A INNOVADORA APLICADA A LA DISCAPACIDAD AUDITIVA SEVERA;998;VARIOS DISTRITOS;13;OTROS BIENES PÈBLICOS DE CARµCTER ECON‡MICO;03;INVESTIGACI‡N, INNOVACI‡N Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;333355,00;333355,00;0,00;0,00;333355,00;331700,93;0,00;0,00;0,00
;;001;016;92000;62599;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;14446,67;14446,67;0,00;0,00;14446,67;14446,67;14446,67;0,00;14446,67
;;001;016;92000;62599;2018/000078;2018/000078;EQUIPAMIENTO SERVICIOS GERENCIA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;1650,03;16650,03;12142,78;0,00;4507,25;4507,25;0,00;0,00;0,00
;;001;016;92000;62599;2018/002018;2018/002018;PR‡RROGA CRêDITO 001016/92000/62599/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1203,30;1203,30;1203,30;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;827,00;2050,00;2877,00;646,47;0,00;2230,53;2230,53;1404,12;0,00;1404,12
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005027;2018/005027;IFS - PABELL‡N DE LOS JARDINES DE CECILIO RODR÷GUEZ. REPARACI‡N CUBIERTA;203;RETIRO;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;70000,00;70000,00;12464,50;0,00;57535,50;57535,50;14011,80;0,00;14011,80
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005028;2018/005028;IFS - EDIFICIO PLAZA DE LA VILLA 5 Y 6, MAYOR, 69 Y Cß HORMIGERAS, 133. MEJORA PLAN DE AUTOPROTECCI‡N;201;CENTRO;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;21000,00;21000,00;201,81;0,00;20798,19;20798,19;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005029;2018/005029;IFS - EDIFICIO CALLE BAILEN, 41. CORTINAS DE CONTROL DE HUMOS EN LAS V÷AS DE EVACUACI‡N;201;CENTRO;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;16000,00;16000,00;11160,00;0,00;4840,00;4840,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;016;93303;63200;2018/005030;2018/005030;IFS - EDIFICIO CALLE RAIMUNDO FERNµNDEZ VILLAVERDE,32. OBRAS DE ADAPTACI‡N DE ESPACIOS;207;CHAMBERI;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;24500,00;24500,00;7108,91;0,00;17391,09;17391,09;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;62300;2018/006081;2018/006081;IFS - EDIFICIOS µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO. DESFIBRILADORES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARµCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;18000,00;18000,00;7134,60;0,00;10865,40;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;62301;2018/006113;2018/006113;IFS - EDIFICIO C/HERMANOS µLVAREZ QUINTERO,3. ADECUACI‡N SISTEMA INTEGRAL DE SEGURIDAD;201;CENTRO;00;INVERSIONES DE CARµCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;121000,00;121000,00;121000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;62500;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1500,00;5000,00;6500,00;5,73;0,00;6494,27;6494,27;456,97;0,00;456,97
;;001;027;23100;62599;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;3100,00;3100,00;590,15;0,00;2509,85;2509,85;2509,85;0,00;978,79
;;001;027;23100;62901;2018/001215;2018/001215;CENTRO DE ATENCI‡N INTEGRAL SOCIOSANITARIA. SE•ALIZACI‡N;201;CENTRO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;;;;;;;0,00;5000,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63301;2018/000052;2018/000052;EDIFICIOS ADSCRITOS AL AREA DE EQUIDAD, DERECHOS SOCIALES Y EMPLEO. INSTALACIONES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARµCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;406240,00;-260240,00;146000,00;146000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63301;2018/000052;2018/010052;EDIFICIO SEDE µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO. INSTALACIONES SEGURIDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;13080,58;13080,58;0,00;0,00;13080,58;13080,58;0,00;0,00;0,00
;;001;027;23100;63301;2018/000052;2018/020052;CONSEJO DE MUJERES, C/ SE•ORES DE LUZ‡N, 3 - 2ß PISO. INSTALACIONES;201;CENTRO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;04;ATENCI‡N SOCIAL A LA MUJER;;;;;;;0,00;3682,03;3682,03;0,00;0,00;3682,03;3682,03;0,00;0,00;0,00
;;001;027;23100;63301;2018/001020;2018/001020;EDIFICIO SEDE CENTRO MUNICIPAL URGENCIAS SOCIALES. INSTALACIONES;213;PUENTE DE VALLECAS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;08;SAMUR - SOCIAL;;;;;;;5760,00;0,00;5760,00;0,40;0,00;5759,60;5759,60;5759,60;0,00;5759,60
4;SC Y CE FINANC. CON RTG;001;027;23100;63301;2018/006111;2018/006111;IFS - CENTRO DE ALZHEIMER DOCTOR SALGADO ALBA. ADECUACI‡N PLAN DE AUTOPROTECCI‡N;211;CARABANCHEL;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;00;CENTROS DE D÷A Y RESIDENCIAS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;15000,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23100;63301;2018/006112;2018/006112;IFS - CENTRO DE ACOGIDA SAN ISIDRO. MEJORA PROTECCI‡N CONTRA INCENDIOS;209;MONCLOA-ARAVACA;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;06;PERSONAS SIN HOGAR;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;4000,00;4000,00;4000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63500;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;-5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23100;63599;2018/000056;2018/000056;EQUIPAMIENTO SERVICIOS µREA EQUIDAD, DERECHOS SOCIALES Y EMPLEO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;-12000,00;3000,00;3000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23102;62599;2017/000225;2017/000225;CENTROS DE ATENCI‡N A MENORES Y FAMILIAS. MOBILIARIO;998;VARIOS DISTRITOS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;14077,00;-14075,40;1,60;1,60;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23102;62599;2017/000225;2017/010225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y J‡VENES Nß 5, VICµLVARO. MOBILIARIO;219;VICALVARO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;1921,82;1921,82;0,00;0,00;1921,82;1921,82;1921,82;0,00;1921,82
;;001;027;23102;62599;2017/000225;2017/020225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y J‡VENES FUENCARRAL-EL PARDO. MOBILIARIO;208;FUENCARRAL-EL PARDO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;5221,20;5221,20;0,00;0,00;5221,20;5221,20;5221,20;0,00;5221,20
;;001;027;23102;62599;2017/000225;2017/040225;CENTRO SOCIOEDUCATIVO ADOLESCENTES Y J‡VENES HORTALEZA. MOBILIARIO;216;HORTALEZA;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;;;;;;;0,00;6932,38;6932,38;0,00;0,00;6932,38;6932,38;6932,38;0,00;6932,38
4;SC Y CE FINANC. CON RTG;001;027;23102;62599;2018/006042;2018/006042;IFS - CENTRO SOCIAL PARA ADOLESCENTES PALACETE QUINTA MOLINOS. MOBILIARIO;220;SAN BLAS-CANILLEJAS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;44469,00;44469,00;13563,24;0,00;30905,76;30905,76;30905,76;0,00;30905,76
4;SC Y CE FINANC. CON RTG;001;027;23102;63599;2018/006089;2018/006089;IFS - CENTROS ATENCI‡N INFANCIA Y CENTROS APOYO ADOLESCENTES. REPOSICI‡N OTRO MOBILIARIO;998;VARIOS DISTRITOS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;03;INFANCIA Y FAMILIA;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;95000,00;95000,00;10437,16;0,00;84562,84;9563,49;0,00;0,00;0,00
;;001;027;23103;62599;2017/000255;2017/000255;EQUIPAMIENTO CENTROS DE D÷A DE MAYORES Y CENTROS DE MAYORES;998;VARIOS DISTRITOS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;00;CENTROS DE D÷A Y RESIDENCIAS DE MAYORES;;;;;;;32862,00;-32862,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;027;23103;62599;2017/000255;2017/020255;EQUIPAMIENTO CENTRO DE MAYORES PEZ AUSTRAL;203;RETIRO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;2030,38;2030,38;0,00;0,00;2030,38;2030,38;2030,38;0,00;2030,38
;;001;027;23103;62599;2018/001056;2018/001056;CENTROS MAYORES CIUDAD DE MADRID. ADQUISICI‡N ARCHIVADORES PARA GABINETES PODOLOG÷A;998;VARIOS DISTRITOS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;01;CENTROS DE MAYORES;;;;;;;5182,00;-0,42;5181,58;0,00;0,00;5181,58;5181,58;0,00;0,00;0,00
;;001;027;23103;62599;2018/001159;2018/001159;EQUIPAMIENTO GABINETES PODOLOGICOS CENTROS MUNICIPALES DE MAYORES;998;VARIOS DISTRITOS;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;33323,40;33323,40;9801,00;490,05;23032,35;23032,35;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;027;23103;62599;2018/006043;2018/006043;IFS - EQUIPAMIENTO CENTRO DE MAYORES PEZ AUSTRAL;203;RETIRO;03;PROTECCI‡N Y PROMOCI‡N SOCIAL;01;CENTROS DE MAYORES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;63872,00;63872,00;0,29;0,00;63871,71;63871,71;63871,71;0,00;63871,71
